segment_id,customer_count,transaction_count_mean,total_spend_npr_mean,avg_order_value_npr_mean,total_units_mean,avg_basket_size_mean,scan_to_pay_rate_mean,app_engagement_events_mean,recency_days_mean,preferred_payment_method_mode,loyalty_tier_mode,segment_name
0,6831,0.025618503879373443,15.394378568291613,15.035573122529645,0.06265554091641048,0.0470648514126775,0.000878348704435661,0.003952569169960474,942.8641487337139,No Purchase,Standard,Occasional Traditional Shoppers
1,13067,2.0796663350424733,9723.690900742327,4773.609188419635,28.574883293793526,10.342995167761757,0.5149231798022645,3.744700390296166,304.2785643223387,Cash,Standard,Regular Digital Shoppers
2,5102,4.439435515484124,36894.91826734614,10623.9884576614,100.55390043120345,20.25046631308473,0.7440723867134835,21.419443355546843,193.30125441003528,Card,Standard,High Value Loyal Customers
